Location name,Latitude,Longitude,Coordinates type,Material identifier,Short references,Original material identifier,Material type,Taxon rank,Taxon name,Reported biological identification,Fish category,Plant metabolism,Context,Relative dating - lower limit,Relative dating - upper limit,Relative dating timescale,Sample identifier,Sample type,Bone,Combustion stage,Dataset DOI,Result type,δ13C (‰vpdb),δ13C (‰vpdb) uncertainty,δ13C uncertainty type,δ15N (‰air),δ15N (‰air) uncertainty,δ15N uncertainty type,δ34S uncertainty type,Country
Archontiko,40.78631,22.46671,exact,2018.001.1432,Nitsch et al. (2017),ARC081,animal,species,dama dama,fallow deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1534,bone,tibia,,10.48530/isoarch.2018.001,exact,-20.8,,,3.8,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1433,Nitsch et al. (2017),ARC082,animal,species,bos primigenius,aurochs,,,archaeological,-2130,-2087,BCE/CE,2018.001.1535,bone,metacarpal,,10.48530/isoarch.2018.001,exact,-23.7,,,3.6,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1434,Nitsch et al. (2017),ARC084,animal,species,capreolus capreolus,roe deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1536,bone,tibia,,10.48530/isoarch.2018.001,exact,-20.2,,,7.3,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1435,Nitsch et al. (2017),ARC085,animal,species,canis familiaris,dog,,,archaeological,-2130,-2087,BCE/CE,2018.001.1537,bone,ulna,,10.48530/isoarch.2018.001,exact,-19.4,,,7.8,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1436,Nitsch et al. (2017),ARC086,animal,species,canis familiaris,dog,,,archaeological,-2130,-2087,BCE/CE,2018.001.1538,bone,ulna,,10.48530/isoarch.2018.001,exact,-19,,,8.4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1437,Nitsch et al. (2017),ARC087,animal,species,canis familiaris,dog,,,archaeological,-2130,-2087,BCE/CE,2018.001.1539,bone,ulna,,10.48530/isoarch.2018.001,exact,-19.1,,,10.3,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1438,Nitsch et al. (2017),ARC088,animal,species,cervus elaphus,red deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1540,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.1,,,3.9,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1439,Nitsch et al. (2017),ARC089,animal,species,cervus elaphus,red deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1541,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.7,,,4.7,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1440,Nitsch et al. (2017),ARC090,animal,species,cervus elaphus,red deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1542,bone,tibia,,10.48530/isoarch.2018.001,exact,-11.9,,,3.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1441,Nitsch et al. (2017),ARC091,animal,species,cervus elaphus,red deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1543,bone,tibia,,10.48530/isoarch.2018.001,exact,-20.9,,,5.9,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1442,Nitsch et al. (2017),ARC092,animal,species,cervus elaphus,red deer,,,archaeological,-2086,-1877,BCE/CE,2018.001.1544,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.2,,,3.2,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1443,Nitsch et al. (2017),ARC093,animal,species,cervus elaphus,red deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1545,bone,tibia,,10.48530/isoarch.2018.001,exact,-13.4,,,5.7,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1444,Nitsch et al. (2017),ARC094,animal,species,capreolus capreolus,roe deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1546,bone,ulna,,10.48530/isoarch.2018.001,exact,-18.5,,,7.5,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1445,Nitsch et al. (2017),ARC095,animal,species,capreolus capreolus,roe deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1547,bone,radius,,10.48530/isoarch.2018.001,exact,-20.3,,,4.9,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1446,Nitsch et al. (2017),ARC096,animal,species,capreolus capreolus,roe deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1548,bone,radius,,10.48530/isoarch.2018.001,exact,-21.2,,,3.5,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1447,Nitsch et al. (2017),ARC097,animal,species,dama dama,fallow deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1549,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.4,,,4.4,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1448,Nitsch et al. (2017),ARC098,animal,species,dama dama,fallow deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1550,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.1,,,6.3,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1449,Nitsch et al. (2017),ARC099,animal,species,dama dama,fallow deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1551,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.3,,,5.3,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1450,Nitsch et al. (2017),ARC100,animal,species,dama dama,fallow deer,,,archaeological,-2130,-2087,BCE/CE,2018.001.1552,bone,tibia,,10.48530/isoarch.2018.001,exact,-21.3,,,5.8,,,,Greece
Archontiko,40.78631,22.46671,exact,2018.001.1451,Nitsch et al. (2017),ARC101,animal,species,canis familiaris,dog,,,archaeological,-2086,-1877,BCE/CE,2018.001.1553,bone,ulna,,10.48530/isoarch.2018.001,exact,-18.7,,,9.6,,,,Greece
